curiosity.ordinal,curiosity.onset,curiosity.offset,curiosity.type,response.ordinal,response.onset,response.offset,response.val,
0,106242,113915,"e",0,179354,179354,"1",
1,209176,218799,"e",1,267339,0,"0",
2,267339,271737,"r",2,468915,468915,"1",
3,302731,314412,"e",3,590165,590165,"0",
4,320425,425467,"e",4,656733,656733,"0",
5,358108,358108,"t",5,691070,691070,"0",
6,431644,439140,"e",6,740858,740858,"0",
7,464904,469087,"r",7,816328,816328,"1",
8,497383,514638,"e",8,899341,899341,"1",
9,514638,515672,"q",9,952908,952908,"0",
10,544730,549855,"e",10,1022645,1022645,"1",
11,552776,560800,"e",11,1177187,1177187,"0",
12,566219,580660,"e",12,1240210,1240210,"0",
13,586893,590509,"r",13,1281937,1281937,"0",
14,637737,647868,"e",14,1317508,1317508,"1",
15,652914,656726,"r",15,1422990,1422990,"0",
16,674643,684587,"e",16,1465864,1465864,"1",
17,689932,693526,"r",17,1498538,1498538,"0",
18,716071,723621,"e",18,1526717,1526717,"0",
19,737576,740825,"r",19,1562126,1562126,"0",
20,785082,786408,"q",20,1598740,1598740,"0",
21,794110,806815,"e",21,1636556,1636556,"0",
22,806820,806820,"t",,,,,
23,811428,816326,"r",,,,,
24,835503,844289,"e",,,,,
25,894758,899151,"r",,,,,
26,932567,933584,"q",,,,,
27,948662,952933,"r",,,,,
28,980904,988739,"e",,,,,
29,993644,1002193,"e",,,,,
30,1001286,1006741,"n1",,,,,
31,1017760,1022313,"r",,,,,
32,1033018,1045134,"e",,,,,
33,1052461,1100918,"e",,,,,
34,1072259,1073598,"t",,,,,
35,1114304,1114938,"e",,,,,
36,1128622,1153290,"e",,,,,
37,1172457,1175670,"r",,,,,
38,1195590,1202064,"q",,,,,
39,1218037,1224399,"q",,,,,
40,1237544,1240175,"r",,,,,
41,1263770,1274148,"e",,,,,
42,1278255,1282111,"r",,,,,
43,1302906,1308909,"e",,,,,
44,1311711,1317505,"r",,,,,
45,1401468,1409597,"e",,,,,
46,1418808,1422988,"r",,,,,
47,1450367,1458991,"e",,,,,
48,1461801,1465976,"r",,,,,
49,1496306,1498534,"r",,,,,
50,1515449,1517084,"q",,,,,
51,1526310,1527177,"r",,,,,
52,1556025,1562109,"r",,,,,
53,1589153,1590284,"e",,,,,
54,1596856,1602062,"r",,,,,
55,1625587,1630158,"e",,,,,
56,1631883,1636500,"r",,,,,
